checkpoint,dataset,split,status,wer,training_mode,lr,augmentation,decode,epoch,n_repeats,words,ins_rate,del_rate,sub_rate,checkpoint_path,source,note,repeat_ids
enc_dec_v2,tedlium,dev,complete,0.114015695810766,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,1,18094.0,0.017243285066872997,0.0352603072841826,0.0615121034597104,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,results/enc_dec/rob94_fixed_setting_thesis/pkl/tedlium-dev-enc_dec_v2-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0_1.pkl,,1/1
enc_dec_v2,tedlium,test,complete,0.10076200602516391,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,1,28215.0,0.014460393407761828,0.036611731348573456,0.04968988126882864,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,results/enc_dec/enc_dec_v2/enc_dec_dynamic_eval/tedlium-test-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0_1.pkl,,1/1
enc_dec_v2,earnings22,dev,complete,0.9712877792378449,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,1,45660.0,0.42809899255365746,0.32836180464301357,0.2148269820411739,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,results/enc_dec/rob94_fixed_setting_thesis/pkl/earnings22-dev-enc_dec_v2-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0_1.pkl,,1/1
enc_dec_v2,earnings22,test,complete,0.3187508935318506,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,1,48963.0,0.09141596715887507,0.042215550517737885,0.18511937585523763,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,results/enc_dec/enc_dec_v2/enc_dec_dynamic_eval/earnings22-test-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0_1.pkl,,1/1
enc_dec_v2,chime6,dev,complete,1.0,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,1,61127.0,0.0,1.0,0.0,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,results/enc_dec/rob94_fixed_setting_thesis/pkl/chime6-dev-enc_dec_v2-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0_1.pkl,,1/1
enc_dec_v2,chime6,test,complete,1.0,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,1,56740.0,0.0,1.0,0.0,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,results/enc_dec/rob94_fixed_setting_thesis/pkl/chime6-test-enc_dec_v2-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0_1.pkl,,1/1
enc_dec_v2,rev16,dev,unavailable,,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,0,,,,,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,,Current lcasr/rev16 loader exposes test only; no dev manifest is wired into the runner.,
enc_dec_v2,rev16,test,complete,1.1308768185137337,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,1,195833.0,0.5733916142835987,0.0914095172927954,0.4660756869373395,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,results/enc_dec/rob94_fixed_setting_thesis/pkl/rev16-test-enc_dec_v2-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0_1.pkl,,1/1
old_seed,tedlium,dev,complete,0.10754946391068862,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,1,18094.0,0.031115286835415056,0.02708080026528131,0.049353376809992265,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,results/enc_dec/rob94_fixed_setting_thesis/pkl/tedlium-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0_1.pkl,,1/1
old_seed,tedlium,test,complete,0.08810916179337232,teacher_ce,1em7,freq3_width24_time0,beam5_lp0p5,1,1,28215.0,0.01240474924685451,0.03405989721779196,0.04164451532872585,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,results/enc_dec/rl_step_30000/rob63_rl_self_training_compare/pkl/tedlium-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0_1.pkl,,1/1
